rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62309;ESQUERDES;0622337D;public;99.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51361.0;Ecole élémentaire Pierre Brossolette;Esquerdes;062;62309;Pas-de-Calais;Lille;50.70369229174865,2.186399638868059
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62905;ZUDAUSQUES;0622551L;public;107.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51381.0;Ecole primaire;Zudausques;062;62905;Pas-de-Calais;Lille;50.74908790839237,2.1478501560979684
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62557;MAROEUIL;0622669P;privé sous contrat;126.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51423.0;Ecole primaire privée Sainte Bertille;Maroeuil;062;62557;Pas-de-Calais;Lille;50.324680624732075,2.702650389025298
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62557;MAROEUIL;0622976Y;public;114.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51524.0;Ecole primaire Françoise Dolto;Maroeuil;062;62557;Pas-de-Calais;Lille;50.323955047968255,2.705589922302305
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62764;SAINT NICOLAS;0622984G;public;82.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51528.0;Ecole primaire Henri Grenier;Saint-Nicolas;062;62764;Pas-de-Calais;Lille;50.30704212090676,2.78859962329311
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59183;DUNKERQUE;0593530S;public;95.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49532.0;Ecole élémentaire Neptune;Dunkerque;059;59183;Nord;Lille;51.0430361417617,2.3797162971030468
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59385;MARPENT;0593545H;public;81.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49545.0;Ecole primaire Maurice Fostier;Marpent;059;59385;Nord;Lille;50.293187962402676,4.080569924284184
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59178;DOUAI;0593688N;public;67.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49589.0;Ecole élémentaire Robert Mohen;Douai;059;59178;Nord;Lille;50.36085345269844,3.0739596164003316
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59146;CHERENG;0593708K;privé sous contrat;137.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49601.0;Ecole primaire privée Sainte Marie;Chéreng;059;59146;Nord;Lille;50.612019286290334,3.207839806745832
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59168;CYSOING;0593724C;privé sous contrat;137.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49610.0;Ecole primaire privée Saint Joseph;Cysoing;059;59168;Nord;Lille;50.569210157071524,3.215670253613012
