Rentrée scolaire;Code région;Région;Code de l'académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59067;BERGUES;0590639Z;ECOLE ELEMENTAIRE LAMARTINE;public;86.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16748.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59070;BERMERIES;0590646G;ECOLE PRIMAIRE REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE BERMERIES;public;108.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16749.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59073;BERTHEN;0590650L;ECOLE PRIMAIRE EVARISTE VANDEWALLE;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16750.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59079;BEUVRAGES;0590660X;ECOLE ELEMENTAIRE JULES FERRY;public;76.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16751.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59080;BEUVRY LA FORET;0590663A;ECOLE ELEMENTAIRE LES TROIS ARBRES;public;118.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16752.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59081;BEVILLERS;0590665C;ECOLE PRIMAIRE;public;91.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16753.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59085;BLECOURT;0590671J;ECOLE ELEMENTAIRE RPI 18;public;94.5;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16754.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59087;BOËSEGHEM;0590674M;ECOLE PRIMAIRE DES TROIS CLEFS;public;101.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16755.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59088;BOIS GRENIER;0590676P;ECOLE PRIMAIRE;public;120.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16756.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59089;BOLLEZEELE;0590677R;ECOLE PRIMAIRE LE CHAT BOTTE;public;87.3;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16757.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59091;BORRE;0590680U;ECOLE PRIMAIRE RENE DELHAY;public;102.6;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16758.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59093;BOULOGNE SUR HELPE;0590684Y;ECOLE ELEMENTAIRE RPI 15;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16759.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59094;BOURBOURG;0590689D;ECOLE PRIMAIRE LAMARTINE;public;80;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16760.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59097;BOURSIES;0590692G;ECOLE ELEMENTAIRE NIVEAU 2 RPI 2;public;88.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16761.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59100;BOUSIGNIES;0590699P;ECOLE PRIMAIRE DU LUGRAS;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16762.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59102;BOUSSIERES EN CAMBRESIS;0590700R;ECOLE PRIMAIRE CALMETTE;public;NS;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16763.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59103;BOUSSIERES SUR SAMBRE;0590702T;ECOLE PRIMAIRE PIERRE PERRET;public;90.4;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16764.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59104;BOUSSOIS;0590704V;ECOLE ELEMENTAIRE DANIELLE CASANOVA;public;71.9;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16765.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59104;BOUSSOIS;0590705W;ECOLE ELEMENTAIRE ERNEST CARLIN;public;81.1;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16766.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59105;BOUVIGNIES;0590706X;ECOLE PRIMAIRE PIGEON VOLE;public;122.2;119.3;102.9;105.4;117;93;97.8;118;94.3;99.8;16767.0
